Series ID,User,August 14 22:40,August 14 22:50,August 14 23:0,August 14 23:10,August 14 23:20,August 14 23:30,August 14 23:40,August 14 23:50,August 15 0:0,August 15 0:10,August 15 0:20,August 15 0:30,August 15 0:40,August 15 0:50,August 15 1:0,August 15 1:10,August 15 1:20,August 15 1:30,August 15 1:40,August 15 1:50,August 15 2:0,August 15 2:10,August 15 2:20,August 15 2:30,August 15 2:40,August 15 2:50,August 15 3:0,August 15 3:10,August 15 3:20,August 15 3:30,August 15 3:40,August 15 3:50,August 15 4:0,August 15 4:10,August 15 4:20,August 15 4:30,August 15 4:40,August 15 4:50,August 15 5:0,August 15 5:10,August 15 5:20,August 15 5:30,August 15 5:40,August 15 5:50,August 15 6:0,August 15 6:10,August 15 6:20,August 15 6:30,August 15 6:40,August 15 6:50,August 15 7:0,August 15 7:10,August 15 7:20,August 15 7:30,August 15 7:40,August 15 7:50,August 15 8:0,August 15 8:10,August 15 8:20,August 15 8:30,August 15 8:40,August 15 8:50,August 15 9:0,August 15 9:10,August 15 9:20,August 15 9:30,August 15 9:40,August 15 9:50,August 15 10:0,August 15 10:10,August 15 10:20,August 15 10:30,August 15 10:40,August 15 10:50,August 15 11:0,August 15 11:10,August 15 11:20,August 15 11:30,August 15 11:40,August 15 11:50,August 15 12:0,August 15 12:10,August 15 12:20,August 15 12:30,August 15 12:40,August 15 12:50,August 15 13:0,August 15 13:10,August 15 13:20,August 15 13:30,August 15 13:40,August 15 13:50,August 15 14:0,August 15 14:10,August 15 14:20,August 15 14:30,August 15 14:40,August 15 14:50,August 15 15:0,August 15 15:10,August 15 15:20,August 15 15:30,August 15 15:40,August 15 15:50,August 15 16:0,August 15 16:10,August 15 16:20,August 15 16:30,August 15 16:40,August 15 16:50,August 15 17:0,August 15 17:10,August 15 17:20,August 15 17:30,August 15 17:40,August 15 17:50,August 15 18:0,August 15 18:10,August 15 18:20,August 15 18:30,August 15 18:40,August 15 18:50,August 15 19:0,August 15 19:10,August 15 19:20,August 15 19:30,August 15 19:40,August 15 19:50,August 15 20:0,August 15 20:10,August 15 20:20,August 15 20:30,August 15 20:40,August 15 20:50,August 15 21:0,August 15 21:10,August 15 21:20,August 15 21:30,August 15 21:40,August 15 21:50,August 15 22:0,August 15 22:10,August 15 22:20,August 15 22:30,August 15 22:40,August 15 22:50,August 15 23:0,August 15 23:10,August 15 23:20,August 15 23:30,August 15 23:40,August 15 23:50,August 16 0:0,August 16 0:10,August 16 0:20,August 16 0:30,August 16 0:40,August 16 0:50,August 16 1:0,August 16 1:10,August 16 1:20,August 16 1:30,August 16 1:40,August 16 1:50,August 16 2:0,August 16 2:10,August 16 2:20,August 16 2:30,August 16 2:40,August 16 2:50,August 16 3:0,August 16 3:10,August 16 3:20,August 16 3:30,August 16 3:40,August 16 3:50,August 16 4:0,August 16 4:10,August 16 4:20,August 16 4:30,August 16 4:40,August 16 4:50,August 16 5:0,August 16 5:10,August 16 5:20,August 16 5:30,August 16 5:40,August 16 5:50,August 16 6:0,August 16 6:10,August 16 6:20,August 16 6:30,August 16 6:40,August 16 6:50,August 16 7:0,August 16 7:10,August 16 7:20,August 16 7:30,August 16 7:40,August 16 7:50,August 16 8:0,August 16 8:10,August 16 8:20,August 16 8:30,August 16 8:40,August 16 8:50,August 16 9:0,August 16 9:10,August 16 9:20,August 16 9:30,August 16 9:40,August 16 9:50,August 16 10:0,August 16 10:10,August 16 10:20,August 16 10:30,August 16 10:40,August 16 10:50,August 16 11:0,August 16 11:10,August 16 11:20,August 16 11:30,August 16 11:40,August 16 11:50,August 16 12:0,August 16 12:10,August 16 12:20,August 16 12:30,August 16 12:40,August 16 12:50,August 16 13:0,August 16 13:10,August 16 13:20,August 16 13:30,August 16 13:40,August 16 13:50,August 16 14:0,August 16 14:10,August 16 14:20,August 16 14:30,August 16 14:40,August 16 14:50,August 16 15:0,August 16 15:10,August 16 15:20
10.101.1.60-1936758_0,jjerke,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,131,131,131,133,131,132,133,131,131,131,155,168,156,144,141,138,139,152,153,153,152,153,152,153,153,153,157,156,154,156,153,153,152,146,153,156,153,152,148,153,153,154,152,152,153,153,152,150,138,143,143,142,142,142,147,148,142,144,142,136,160,156,142,143,154,153,153,147,153,154,154,149,154,153,158,149,153,154,153,152,153,154,150,153,153,152,154,154,153,152,153,153,154,154,153,153,153,154,153,153,150,153,154,153,153,155,153,150,133,131,132,131,132,131,131,131,131,131,132,131,132,131,131,131,261,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10.101.1.60-1936758_1,jjerke,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.31,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.02,10.02,10.02,10.4,10.4,10.4,10.4,10.33,10.33,10.33,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.75,10.75,10.75,10.75,10.75,10.74,10.74,10.74,10.75,10.75,10.76,10.76,10.75,10.75,10.75,10.75,10.75,10.74,10.75,10.75,10.39,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,10.44,10.44,10.37,10.38,10.95,10.95,10.95,10.96,10.96,10.96,10.95,10.95,10.95,10.95,10.96,10.96,10.96,10.96,10.96,10.96,10.95,10.95,10.95,10.96,10.96,10.96,10.96,10.95,10.95,10.95,10.96,10.96,10.96,10.96,10.95,10.95,10.96,10.96,10.96,10.96,10.96,10.94,10.96,10.95,10.95,10.95,10.95,10.95,10.49,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.02,10.03,10.02,10.03,10.03,10.03,10.03,10.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10.101.10.44-1936618_0,ddocimo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,329,332,331,332,330,332,331,331,330,331,331,330,331,331,329,331,332,331,331,330,332,331,332,330,330,329,331,327,325,326,325,327,325,318,310,313,311,313,312,312,314,311,307,299,295,281,277,269,271,272,268,260,256,256,254,243,239,233,225,221,221,206,201,193,192,187,185,184,182,176,173,169,168,167,166,167,166,167,168,161,161,155,156,155,155,154,155,159,159,148,148,148,148,149,140,140,144,141,139,139,140,322,332,330,330,329,331,332,331,332,331,331,332,330,331,330,332,330,332,332,330,332,331,330,331,330,329,330,331,329,329,331,327,330,330,326,322,322,322,324,321,318,320,320,313,311,305,294,280,275,274,272,266,261,262,256,256,257,256,250,243,231,230,224,220,213,213,209,210,209,199,202,201,195,197,196,195,190,192,192,193,185,181,175,171,165,166,160,162,160,155,154,154,147,147,140,140,143,140,140,140,140,312,331,330,332,331,331,331,332,331,332,332,333,332,332,331,331,331,331,331,332,332,331,331,332,331,332,331,331,328,328,325,-1
10.101.10.44-1936618_1,ddocimo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.54,60.81,60.81,61.89,61.89,61.22,61.73,61.73,62.57,62.57,63.01,63.01,63.53,63.53,62.57,62.57,62.05,62.31,63.85,63.85,64.09,64.21,64.21,62.81,62.81,62.22,62.64,62.64,62.29,62.03,62.26,62.26,60.95,59.84,59.71,59.71,59.59,59.59,59.34,59.35,59.49,60.5,60.5,57.66,58.11,58.11,55.35,54.42,54.42,54.84,54.84,54.35,53.48,54.09,54.09,53.22,51.87,50.75,50.15,49.81,48.79,48.62,48.46,45.27,44.36,44.36,43.67,42.97,42.97,42.97,42.3,41.56,41.14,41.14,40.97,41.65,41.65,41.01,41.48,41.48,40.29,39.92,39.92,39.57,40.18,40.18,39.76,39.58,40.07,40.07,38.87,39.34,39.34,38.89,38.89,38.17,38.17,38.17,38.18,38.19,38.19,38.3,63.82,63.82,63.83,63.83,64.24,64.24,63.97,63.89,63.79,63.22,64.66,64.66,64.57,64.32,63.65,64.09,65.68,65.68,65.92,65.92,65.36,65.36,65.61,65.61,64.4,64.4,63.76,64.4,65.02,65.02,64.13,64.5,64.5,62.9,62.9,63.28,63.28,62.41,62.57,62.57,63.8,63.8,60.9,60.74,60.74,60.43,58.57,57.1,56.95,56.95,56.62,55.09,55.03,55,55.17,55.17,55.07,54.36,54.36,52.37,51.71,50.88,50.19,50.45,50.26,49.86,49.01,49.84,47.62,48.21,47.44,47.43,47,47.45,47.24,46.83,46.78,46.44,46.04,46.06,45.33,43.95,43.25,43.22,42.55,43.19,41.86,41.85,41.85,41.73,41.22,41.19,40.45,40.45,39.72,39.72,39.72,39.72,39.74,39.74,39.74,64.37,64.36,64.5,65.21,64.71,65.24,65.56,65.65,64.36,64.74,65.24,65.28,65.01,65.1,64.54,64.65,65.89,64.67,67.63,67.06,66.01,66.11,65.19,65.23,65.88,66.38,64.64,64.05,65.27,64.38,-1
10.101.5.5-1936758_0,jjerke,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,157,137,142,137,137,139,139,137,140,137,137,149,149,150,137,136,132,132,158,149,149,148,149,148,149,151,149,150,147,149,148,149,148,150,148,148,148,148,148,148,149,150,152,149,148,147,149,148,148,139,123,124,123,124,123,123,123,123,123,123,123,149,148,123,124,150,150,149,142,153,149,150,149,150,151,143,151,149,151,144,150,151,148,150,150,149,148,149,150,149,149,144,151,147,149,149,151,149,147,150,144,150,150,150,147,151,153,149,136,131,137,138,138,138,142,137,137,139,138,137,137,138,137,137,137,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10.101.5.5-1936758_1,jjerke,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.21,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,6.87,6.87,6.87,6.79,6.8,6.8,7.2,7.22,7.22,7.22,7.22,7.23,7.23,7.22,7.22,7.22,7.23,7.23,7.21,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.23,7.23,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.21,6.51,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.91,6.91,6.5,6.5,7.42,7.43,7.43,7.43,7.43,7.42,7.42,7.42,7.43,7.43,7.43,7.43,7.43,7.43,7.43,7.43,7.42,7.43,7.43,7.42,7.43,7.43,7.42,7.42,7.42,7.42,7.44,7.44,7.43,7.43,7.43,7.45,7.45,7.43,7.43,7.43,7.43,7.42,7.42,7.43,7.42,7.42,7.42,7.43,6.96,7.06,9.38,9.37,9.37,9.37,9.37,9.37,9.37,9.4,9.37,9.37,9.37,9.37,9.37,9.37,9.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10.101.7.21-1936581_0,ddocimo,320,323,323,324,322,323,323,324,324,325,325,323,324,323,322,324,323,322,323,324,324,325,325,325,324,322,323,323,323,323,322,323,322,318,315,311,311,308,308,310,312,309,309,310,309,298,298,293,291,286,285,284,282,282,283,281,274,253,243,235,231,225,223,223,226,225,217,213,213,212,203,202,202,203,192,194,193,190,188,188,179,176,172,175,174,172,168,167,166,161,159,158,157,154,154,150,151,150,151,151,150,143,143,145,144,146,144,136,138,130,319,322,322,325,323,324,322,322,322,323,324,323,323,325,324,322,321,322,323,323,323,322,322,324,323,322,322,324,322,321,322,322,323,322,322,322,324,322,323,320,324,323,324,322,319,304,297,292,294,292,292,294,294,294,292,281,268,267,262,264,263,264,260,252,252,246,247,234,230,223,219,216,213,215,212,206,208,205,197,198,195,190,189,190,188,189,182,183,177,169,166,162,164,159,155,156,154,143,143,135,136,128,134,129,319,324,323,324,323,323,325,323,324,325,324,324,323,323,322,322,322,323,323,322,322,323,322,322,324,324,323,325,322,322,-1
10.101.7.21-1936581_1,ddocimo,47.6,49.33,49.33,48.6,49.59,49.59,48.63,48.58,48.66,49.62,49.62,49.62,49.62,49.59,49.59,49.27,50.58,50.58,49.65,50.42,50.42,50.14,50.29,50.29,50.46,50.46,49.52,50.12,50.19,50.19,49.66,49.76,49.76,49.6,48.88,48.88,47.95,48.65,48.65,47.79,48.27,48.61,48.61,48.36,48.19,47.18,47.31,47.31,46.45,46.64,46.64,45.22,45.13,46.02,46.02,45.71,45.71,43.48,41.19,40.25,39.48,38.04,37.4,37.43,38.08,38.08,37.25,37.25,36.72,36.1,36.1,35.92,35.92,35.3,35.3,33.69,34.14,34.14,32.89,32.76,32.76,31.46,31.46,30.84,30.7,30.75,30.75,30.05,30.08,30.08,29.35,29.56,29.56,28.71,28.65,28.77,28.77,28.04,28.01,28.06,28.06,28.06,27.36,27.36,27.37,27.39,27.39,27.34,26.68,26.68,50.7,51.32,51.32,50.77,51.04,51.16,51.16,50.9,51.24,51.24,51.32,51.38,52.83,52.83,52.05,52.05,51.29,52.39,53.7,53.7,51.79,52.34,52.34,51.75,51.75,51.56,51.95,52.97,52.97,51.76,51.76,50.87,53.56,53.56,52.13,52.13,51.58,51.58,51.46,52.31,52.31,52.8,52.8,52.51,51.42,50.24,49.44,47.48,48.16,48.16,49.57,49.57,48.69,48.5,48.27,47.6,46.89,44.74,44.03,44.03,43.97,43.97,43.95,43.12,42.97,42.97,41.78,42.71,39.81,39.08,39.07,39.03,37.72,37.73,38.33,38.47,37.75,37.17,36.97,36.13,35.79,35.11,34.42,34.41,35.12,34.4,34.44,33.75,33.7,33.69,31.65,31.59,31.56,30.89,30.18,30.2,30.19,29.53,28.79,28.75,28.61,28.07,27.36,27.37,27.38,53.28,51.93,52.1,53.88,52.98,51.93,51.93,52.76,52.68,51.93,52.61,51.96,52.15,52.71,52.31,53.53,53.52,53.56,52.63,53.49,53.3,52.32,53.02,52.85,52.43,52.42,52.63,52.43,52.78,-1
10.101.7.49-1936649_0,jjerke,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,170,207,170,172,219,182,169,170,245,168,168,171,241,194,168,171,171,209,168,168,171,199,169,169,170,171,225,199,169,169,170,171,170,224,204,194,168,168,167,171,171,235,217,191,169,169,169,169,172,171,170,220,199,188,168,169,169,169,180,171,172,171,171,250,222,210,200,169,169,168,168,170,172,172,171,170,315,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10.101.7.49-1936649_1,jjerke,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.07,10.71,10.71,10.01,11.23,11.23,10.02,10.02,10.87,10.87,10.02,10.02,11.64,11.64,10.02,10.02,10.01,10.74,10.74,10.02,10.02,10.63,10.63,10.02,10.02,10.02,11.61,11.61,10.65,10.02,10.02,10.01,10.03,11.4,11.4,10.69,10.02,10.03,10.03,10.02,10.02,11.73,11.73,10.85,10.4,10.03,10.03,10.02,10.02,10.02,10.02,11.37,11.37,10.58,10.42,10.03,10.03,10.02,10.02,10.03,10.03,10.03,10.03,11.46,11.46,10.97,10.97,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.04,10.04,12.34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
