Series ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0_0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,99.50388233,21.43516688,21.84738163,105.3570519,55,2.740835087,90.50375938,92.09154463,2.887665539,60,119.0144475,25.55731436,25.96952911,124.867617,65,3.230269925,106.3816119,107.9693972,3.377100376,70,138.5250127,29.67946183,30.09167658,144.3781822,75,3.719704762,122.2594644,123.8472497,3.866535213,80,158.0355778,33.80160931,34.21382406,163.8887474,85,4.209139599,138.1373169,139.7251022,4.35597005,90,177.546143,37.92375679,38.33597154,183.3993125,95,4.698574436,154.0151695,155.6029547,4.845404887
0_2,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.142039522,-0.278768258,-0.278768258,0.142039522,1,-1.760073511,0.896802247,0.896802247,-1.760073511,1,0.142039522,-0.278768258,-0.278768258,0.142039522,1,-1.760073511,0.896802247,0.896802247,-1.760073511,1,0.142039522,-0.278768258,-0.278768258,0.142039522,1,-1.760073511,0.896802247,0.896802247,-1.760073511,1,0.142039522,-0.278768258,-0.278768258,0.142039522,1,-1.760073511,0.896802247,0.896802247,-1.760073511,1,0.142039522,-0.278768258,-0.278768258,0.142039522,1,-1.760073511,0.896802247,0.896802247,-1.760073511
0_3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0_4,1,1.847858763,-2.347858763,-0.44574573,0.672288258,1,-0.05425427,-1.172288258,0.729824774,-1.229824774,1,1.847858763,-2.347858763,-0.44574573,0.672288258,1,-0.05425427,-1.172288258,0.729824774,-1.229824774,1,1.847858763,-2.347858763,-0.44574573,0.672288258,1,-0.05425427,-1.172288258,0.729824774,-1.229824774,1,1.847858763,-2.347858763,-0.44574573,0.672288258,1,-0.05425427,-1.172288258,0.729824774,-1.229824774,1,1.847858763,-2.347858763,-0.44574573,0.672288258,1,-0.05425427,-1.172288258,0.729824774,-1.229824774,1,1.847858763,-2.347858763,-0.44574573,0.672288258,1,-0.05425427,-1.172288258,0.729824774,-1.229824774,1,1.847858763,-2.347858763,-0.44574573,0.672288258,1,-0.05425427,-1.172288258,0.729824774,-1.229824774,1,1.847858763,-2.347858763,-0.44574573,0.672288258,1,-0.05425427,-1.172288258,0.729824774,-1.229824774,1,1.847858763,-2.347858763,-0.44574573,0.672288258,1,-0.05425427,-1.172288258,0.729824774,-1.229824774,1,1.847858763,-2.347858763,-0.44574573,0.672288258,1,-0.05425427,-1.172288258,0.729824774,-1.229824774
0_5,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994
0_6,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,2,-1.618033989,0.618033989,0.618033989,-1.618033989,2,-1.618033989,0.618033989,0.618033989,-1.618033989,2,-1.618033989,0.618033989,0.618033989,-1.618033989,2,-1.618033989,0.618033989,0.618033989,-1.618033989,2,-1.618033989,0.618033989,0.618033989,-1.618033989,2,-1.618033989,0.618033989,0.618033989,-1.618033989,2,-1.618033989,0.618033989,0.618033989,-1.618033989,2,-1.618033989,0.618033989,0.618033989,-1.618033989,2,-1.618033989,0.618033989,0.618033989,-1.618033989,2,-1.618033989,0.618033989,0.618033989,-1.618033989
0_7,1,1.484587499,-2.711130027,1.093096038,-0.86655351,1,1.484587499,-2.711130027,1.093096038,-0.86655351,1,1.484587499,-2.711130027,1.093096038,-0.86655351,1,1.484587499,-2.711130027,1.093096038,-0.86655351,1,1.484587499,-2.711130027,1.093096038,-0.86655351,1,1.484587499,-2.711130027,1.093096038,-0.86655351,1,1.484587499,-2.711130027,1.093096038,-0.86655351,1,1.484587499,-2.711130027,1.093096038,-0.86655351,1,1.484587499,-2.711130027,1.093096038,-0.86655351,1,1.484587499,-2.711130027,1.093096038,-0.86655351,1,1.484587499,-2.711130027,1.093096038,-0.86655351,1,1.484587499,-2.711130027,1.093096038,-0.86655351,1,1.484587499,-2.711130027,1.093096038,-0.86655351,1,1.484587499,-2.711130027,1.093096038,-0.86655351,1,1.484587499,-2.711130027,1.093096038,-0.86655351,1,1.484587499,-2.711130027,1.093096038,-0.86655351,1,1.484587499,-2.711130027,1.093096038,-0.86655351,1,1.484587499,-2.711130027,1.093096038,-0.86655351,1,1.484587499,-2.711130027,1.093096038,-0.86655351,1,1.484587499,-2.711130027,1.093096038,-0.86655351
0_8,1,0.896802247,-1.760073511,0.142039522,-0.278768258,1,0.896802247,-1.760073511,0.142039522,-0.278768258,1,0.896802247,-1.760073511,0.142039522,-0.278768258,1,0.896802247,-1.760073511,0.142039522,-0.278768258,1,0.896802247,-1.760073511,0.142039522,-0.278768258,1,0.896802247,-1.760073511,0.142039522,-0.278768258,1,0.896802247,-1.760073511,0.142039522,-0.278768258,1,0.896802247,-1.760073511,0.142039522,-0.278768258,1,0.896802247,-1.760073511,0.142039522,-0.278768258,1,0.896802247,-1.760073511,0.142039522,-0.278768258,1,0.896802247,-1.760073511,0.142039522,-0.278768258,1,0.896802247,-1.760073511,0.142039522,-0.278768258,1,0.896802247,-1.760073511,0.142039522,-0.278768258,1,0.896802247,-1.760073511,0.142039522,-0.278768258,1,0.896802247,-1.760073511,0.142039522,-0.278768258,1,0.896802247,-1.760073511,0.142039522,-0.278768258,1,0.896802247,-1.760073511,0.142039522,-0.278768258,1,0.896802247,-1.760073511,0.142039522,-0.278768258,1,0.896802247,-1.760073511,0.142039522,-0.278768258,1,0.896802247,-1.760073511,0.142039522,-0.278768258
0_9,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,0.309016994,-0.809016994,-0.809016994,0.309016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994,1,-0.809016994,0.309016994,0.309016994,-0.809016994
0_10,0,0.951056516,0.587785252,-0.587785252,-0.951056516,-2.45E-16,0.951056516,0.587785252,-0.587785252,-0.951056516,-4.90E-16,0.951056516,0.587785252,-0.587785252,-0.951056516,-7.35E-16,0.951056516,0.587785252,-0.587785252,-0.951056516,-9.80E-16,0.951056516,0.587785252,-0.587785252,-0.951056516,-1.22E-15,0.951056516,0.587785252,-0.587785252,-0.951056516,-1.47E-15,0.951056516,0.587785252,-0.587785252,-0.951056516,-1.71E-15,0.951056516,0.587785252,-0.587785252,-0.951056516,-1.96E-15,0.951056516,0.587785252,-0.587785252,-0.951056516,-2.20E-15,0.951056516,0.587785252,-0.587785252,-0.951056516,-2.45E-15,0.951056516,0.587785252,-0.587785252,-0.951056516,-9.80E-15,0.951056516,0.587785252,-0.587785252,-0.951056516,-2.94E-15,0.951056516,0.587785252,-0.587785252,-0.951056516,3.92E-15,0.951056516,0.587785252,-0.587785252,-0.951056516,-3.43E-15,0.951056516,0.587785252,-0.587785252,-0.951056516,-1.08E-14,0.951056516,0.587785252,-0.587785252,-0.951056516,-3.92E-15,0.951056516,0.587785252,-0.587785252,-0.951056516,2.94E-15,0.951056516,0.587785252,-0.587785252,-0.951056516,-4.41E-15,0.951056516,0.587785252,-0.587785252,-0.951056516,-1.18E-14,0.951056516,0.587785252,-0.587785252,-0.951056516
0_11,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
0_12, 100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0
0_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100
