Series ID,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25
0_0,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,59,59,58,58,58,59,61,62,62,59,60,58,,,
0_1,46,46,46,46,46,47,46,46,46,47,46,46,47,47,47,47,47,47,46,46,48,49,51,51,49,50,49,,,
1_0,65,65,65,65,67,66,64,64,66,65,65,65,64,67,67,67,66,68,66,65,66,68,68,68,63,63,63,,,
1_1,54,54,54,54,55,55,54,53,54,54,54,54,53,55,55,55,55,57,55,54,55,58,60,61,56,56,56,,,
2_0,69,69,69,69,71,70,69,68,70,69,69,69,68,70,70,70,70,71,70,69,70,72,72,72,66,66,65,,,
2_1,51,51,51,51,53,52,51,51,51,51,51,51,50,52,52,52,52,53,52,51,52,54,55,55,54,54,52,,,
3_0,86,84,86,85,86,87,85,84,85,85,86,85,81,87,86,85,85,87,86,85,86,87,86,86,78,80,75,,,
3_1,45,45,45,45,46,46,45,45,45,45,45,45,44,46,46,45,46,46,46,46,46,48,50,51,50,50,48,,,
4_0,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51,51,51,52,55,56,56,51,52,51,,,
4_1,43,43,43,44,44,44,43,43,43,43,44,44,44,44,44,44,44,44,44,44,45,48,49,50,46,47,46,,,
5_0,70,70,70,70,70,70,70,71,70,71,70,71,71,71,71,71,71,72,71,71,72,77,75,74,65,64,64,,,
5_1,55,55,55,55,55,55,55,55,55,55,54,55,56,55,55,55,57,58,55,55,57,63,60,60,53,52,52,,,
6_0,73,74,73,73,74,74,74,73,74,74,74,74,74,74,75,75,75,74,74,75,75,80,81,81,74,74,73,,,
6_1,56,56,56,57,57,57,56,56,56,56,57,57,57,57,56,57,57,57,57,57,57,61,61,62,61,61,59,,,
7_0,81,81,82,82,82,82,82,80,82,82,82,82,82,82,82,82,82,82,82,82,83,87,87,87,78,79,78,,,
7_1,57,57,57,58,58,58,58,56,58,58,58,58,58,58,58,58,58,58,58,58,60,65,65,66,63,63,62,,,
8_0,59,59,59,59,58,58,58,58,58,58,58,58,58,59,58,59,58,58,58,59,60,60,60,60,50,50,49,,,
8_1,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,43,44,46,46,41,41,41,,,
9_0,87,87,87,87,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,88,88,88,88,89,89,90,,,
9_1,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,47,48,49,50,50,50,50,,,
10_0,53,53,53,53,52,53,52,52,52,53,52,53,53,53,54,53,53,53,53,53,54,54,55,56,48,48,47,,,
10_1,41,41,40,41,40,40,41,41,41,40,40,41,40,41,42,42,41,41,41,41,42,43,45,47,43,43,42,,,
11_0,80,79,80,80,80,79,80,78,79,80,79,80,80,79,81,80,81,80,80,83,80,83,85,82,73,74,74,,,
11_1,55,55,56,56,56,55,56,55,55,55,55,56,56,55,55,56,56,56,56,58,56,59,61,60,57,58,57,,,
12_0,62,62,63,63,61,62,62,61,61,61,62,62,62,62,62,62,62,62,62,62,63,63,63,63,53,53,52,,,
12_1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,46,46,47,49,42,44,42,,,
13_0,61,62,62,62,62,62,62,61,61,62,61,62,61,62,62,62,62,62,62,62,63,66,68,69,58,57,57,,,
13_1,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,49,49,50,50,49,51,54,56,56,49,49,49,,,
14_0,40,40,40,39,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,42,45,47,48,51,52,52,,,
14_1,31,31,31,31,32,31,31,31,31,31,31,31,31,31,31,31,31,32,32,31,33,36,39,39,42,43,43,,,
15_0,76,77,76,76,76,77,77,76,77,77,77,77,77,77,77,77,77,77,78,77,78,82,84,86,75,75,76,,,
15_1,59,59,59,59,59,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,61,64,65,66,60,62,62,,,
16_0,58,58,58,58,58,58,58,57,58,58,58,58,58,58,58,58,58,58,58,58,59,62,64,64,63,60,61,,,
16_1,42,42,42,43,42,43,42,42,43,43,42,42,43,43,43,43,42,42,43,43,44,47,49,50,47,48,49,,,
17_0,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,37,39,40,40,43,43,,,
17_1,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,27,28,27,29,33,36,36,36,39,39,,,
